department,total_items_ordered,reordered_items,reorder_rate_pct
dairy eggs,5414016,3627221,67.0
beverages,2690129,1757892,65.35
produce,9479291,6160710,64.99
bakery,1176787,739188,62.81
deli,1051249,638864,60.77
pets,97724,58760,60.13
babies,423802,245369,57.9
bulk,34573,19950,57.7
snacks,2887550,1657973,57.42
alcohol,153696,87595,56.99
meat seafood,708931,402442,56.77
breakfast,709569,398013,56.09
frozen,2236432,1211890,54.19
dry goods pasta,866627,399581,46.11
canned goods,1068058,488535,45.74
other,36291,14806,40.8
household,738666,297075,40.22
missing,69145,27371,39.58
international,269253,99416,36.92
pantry,1875577,650301,34.67
personal care,447123,143584,32.11
