order_number,users_at_this_order,users_at_next_order,pct_continuing_to_next
1,206209,206209.0,100.0
2,206209,206209.0,100.0
3,206209,197523.0,95.79
4,197523,175072.0,88.63
5,175072,156805.0,89.57
6,156805,141471.0,90.22
7,141471,128275.0,90.67
8,128275,117200.0,91.37
9,117200,107438.0,91.67
10,107438,98778.0,91.94
11,98778,91379.0,92.51
12,91379,84592.0,92.57
13,84592,78669.0,93.0
14,78669,73205.0,93.05
15,73205,68240.0,93.22
16,68240,63753.0,93.42
17,63753,59770.0,93.75
18,59770,56078.0,93.82
19,56078,52788.0,94.13
20,52788,49680.0,94.11
21,49680,46836.0,94.28
22,46836,44153.0,94.27
23,44153,41640.0,94.31
24,41640,39432.0,94.7
25,39432,37306.0,94.61
26,37306,35257.0,94.51
27,35257,33421.0,94.79
28,33421,31726.0,94.93
29,31726,30134.0,94.98
30,30134,28639.0,95.04
31,28639,27192.0,94.95
32,27192,25854.0,95.08
33,25854,24611.0,95.19
34,24611,23437.0,95.23
35,23437,22340.0,95.32
36,22340,21310.0,95.39
37,21310,20309.0,95.3
38,20309,19365.0,95.35
39,19365,18459.0,95.32
40,18459,17612.0,95.41
41,17612,16721.0,94.94
42,16721,15940.0,95.33
43,15940,15214.0,95.45
44,15214,14488.0,95.23
45,14488,13814.0,95.35
46,13814,13078.0,94.67
47,13078,12440.0,95.12
48,12440,11848.0,95.24
49,11848,11245.0,94.91
50,11245,10700.0,95.15
51,10700,10134.0,94.71
52,10134,9615.0,94.88
53,9615,9095.0,94.59
54,9095,8632.0,94.91
55,8632,8200.0,95.0
56,8200,7818.0,95.34
57,7818,7432.0,95.06
58,7432,7119.0,95.79
59,7119,6784.0,95.29
60,6784,6467.0,95.33
61,6467,6155.0,95.18
62,6155,5883.0,95.58
63,5883,5626.0,95.63
64,5626,5378.0,95.59
65,5378,5151.0,95.78
66,5151,4912.0,95.36
67,4912,4736.0,96.42
68,4736,4536.0,95.78
69,4536,4350.0,95.9
70,4350,4174.0,95.95
71,4174,4031.0,96.57
72,4031,3873.0,96.08
73,3873,3721.0,96.08
74,3721,3551.0,95.43
75,3551,3404.0,95.86
76,3404,3278.0,96.3
77,3278,3155.0,96.25
78,3155,3026.0,95.91
79,3026,2906.0,96.03
80,2906,2794.0,96.15
81,2794,2680.0,95.92
82,2680,2564.0,95.67
83,2564,2481.0,96.76
84,2481,2383.0,96.05
85,2383,2279.0,95.64
86,2279,2197.0,96.4
87,2197,2123.0,96.63
88,2123,2043.0,96.23
89,2043,1960.0,95.94
90,1960,1888.0,96.33
91,1888,1819.0,96.35
92,1819,1746.0,95.99
93,1746,1695.0,97.08
94,1695,1631.0,96.22
95,1631,1569.0,96.2
96,1569,1501.0,95.67
97,1501,1452.0,96.74
98,1452,1405.0,96.76
99,1405,867.0,61.71
100,867,,
