user_id,total_orders,avg_days_between_orders,avg_basket_size,reorder_rate_pct,total_items_purchased,segment
1,10,19.56,5.9,69.49,59,0
2,14,15.23,13.93,47.69,195,1
3,12,12.09,7.33,62.5,88,0
4,5,13.75,3.6,5.56,18,2
5,4,13.33,9.25,37.84,37,0
6,3,9.0,4.67,14.29,14,0
7,20,10.68,10.3,66.99,206,0
8,3,30.0,16.33,26.53,49,2
9,3,18.0,25.33,23.68,76,1
10,5,19.75,28.6,34.27,143,1
11,7,20.5,13.43,35.11,94,2
12,5,25.0,14.8,17.57,74,2
13,12,7.64,6.75,64.2,81,0
14,13,22.08,16.15,32.38,210,1
15,22,10.81,3.27,81.94,72,0
16,6,21.8,11.67,34.29,70,2
17,40,7.44,7.35,71.77,294,3
18,6,5.6,6.5,25.64,39,0
19,9,9.5,22.67,34.8,204,1
20,4,5.0,5.5,68.18,22,0
21,33,9.91,6.21,50.24,205,0
22,15,13.57,4.6,50.72,69,0
23,4,14.67,10.0,10.0,40,2
24,18,15.53,2.11,52.63,38,0
25,3,30.0,7.0,9.52,21,2
26,12,12.55,4.67,39.29,56,0
27,81,4.44,9.48,71.35,768,3
28,24,11.7,7.63,42.08,183,0
29,18,11.53,12.5,70.22,225,0
30,8,21.57,1.38,45.45,11,2
31,20,4.89,14.95,36.45,299,0
32,5,20.25,22.8,29.82,114,1
33,3,28.5,17.67,35.85,53,1
34,5,20.0,6.4,18.75,32,2
35,9,21.38,20.44,51.09,184,1
36,37,9.72,4.14,64.05,153,3
37,23,13.41,8.17,44.68,188,0
38,12,21.0,16.25,54.87,195,1
39,7,12.0,20.14,51.77,141,1
40,9,13.13,11.56,65.38,104,0
41,5,25.75,13.0,27.69,65,2
42,16,13.87,8.31,54.89,133,0
43,11,10.4,13.36,40.14,147,0
44,3,30.0,12.33,18.92,37,2
45,4,20.0,4.5,5.56,18,2
46,19,17.72,8.26,60.51,157,0
47,5,8.0,5.2,19.23,26,0
48,10,21.67,11.3,48.67,113,2
49,8,28.14,5.88,4.26,47,2
50,67,5.41,6.76,80.35,453,3
51,3,15.0,9.67,17.24,29,2
52,27,9.08,6.26,69.82,169,0
53,3,16.5,11.67,2.86,35,2
54,77,4.78,8.04,59.61,619,3
55,7,17.67,12.43,50.57,87,1
56,12,7.09,12.08,64.14,145,0
57,14,8.08,5.14,56.94,72,0
58,15,9.29,6.47,32.99,97,0
59,10,16.78,9.2,34.78,92,2
60,8,24.86,8.38,32.84,67,2
61,4,24.67,21.75,9.2,87,1
62,10,15.44,8.0,33.75,80,0
63,39,9.13,12.92,60.91,504,3
64,10,10.0,13.5,57.78,135,0
65,14,12.77,9.43,39.39,132,0
66,6,30.0,3.83,21.74,23,2
67,24,7.57,3.38,71.6,81,0
68,6,28.2,11.67,27.14,70,2
69,5,12.25,10.0,40.0,50,0
70,13,19.08,8.0,31.73,104,2
71,23,14.27,19.0,75.74,437,1
72,12,15.27,3.92,68.09,47,0
73,7,22.17,3.43,33.33,24,2
74,5,17.5,9.6,12.5,48,2
75,23,8.86,13.52,68.17,311,0
76,9,22.0,3.56,21.88,32,2
77,12,13.45,16.92,36.95,203,1
78,6,16.4,6.83,7.32,41,2
79,7,18.17,13.29,47.31,93,1
80,12,9.45,10.67,59.38,128,0
81,7,23.17,3.86,25.93,27,2
82,19,11.17,6.89,79.39,131,0
83,6,18.0,6.5,33.33,39,2
84,8,22.71,8.0,31.25,64,2
85,7,18.67,4.29,46.67,30,0
86,17,20.25,15.71,51.31,267,1
87,27,10.31,6.52,65.34,176,0
88,7,17.5,1.57,54.55,11,0
89,20,9.37,11.95,66.95,239,0
90,71,3.47,9.44,88.51,670,3
91,15,10.0,14.07,59.72,211,0
92,5,22.5,4.0,30.0,20,2
93,14,13.31,2.21,16.13,31,2
94,9,14.63,6.22,19.64,56,2
95,8,21.14,18.0,31.94,144,1
96,16,11.47,8.94,60.84,143,0
97,5,24.0,10.8,9.26,54,2
98,14,20.31,3.57,46.0,50,2
99,18,17.71,11.72,40.28,211,0
100,5,26.0,5.4,25.93,27,2
101,20,13.95,8.5,49.41,170,0
102,6,25.0,9.83,42.37,59,2
103,17,11.88,4.53,46.75,77,0
104,5,19.0,3.6,27.78,18,2
105,7,20.17,2.0,28.57,14,2
106,3,10.0,13.67,12.2,41,0
107,15,15.14,8.67,44.62,130,0
108,7,22.17,9.86,43.48,69,2
109,6,20.0,11.5,27.54,69,2
110,20,16.26,17.35,55.62,347,1
111,7,20.0,8.0,10.71,56,2
112,26,8.0,6.08,58.23,158,0
113,5,12.75,1.0,80.0,5,0
114,4,8.33,16.5,40.91,66,1
115,12,16.45,6.58,18.99,79,2
116,6,14.2,4.17,16.0,25,2
117,11,21.0,10.91,43.33,120,2
118,27,12.65,6.11,70.3,165,0
119,3,12.5,7.33,27.27,22,0
120,3,17.0,2.33,42.86,7,0
121,10,20.44,5.5,54.55,55,0
122,29,7.93,4.14,60.0,120,0
123,10,22.67,6.3,49.21,63,2
124,8,15.14,9.88,39.24,79,0
125,13,11.83,14.0,45.05,182,1
126,10,25.22,10.5,44.76,105,2
127,17,12.0,17.94,53.44,305,1
128,11,17.6,8.27,24.18,91,2
129,11,7.5,5.82,48.44,64,0
130,3,30.0,12.33,16.22,37,2
131,9,19.5,6.56,57.63,59,0
132,24,3.35,4.83,60.34,116,0
133,20,6.47,27.2,50.74,544,1
134,6,20.6,7.83,44.68,47,2
135,4,12.0,6.5,34.62,26,0
136,4,14.0,11.75,12.77,47,2
137,6,25.4,12.0,65.28,72,1
138,32,11.45,4.63,62.84,148,0
139,4,6.67,3.5,42.86,14,0
140,76,4.84,15.14,73.59,1151,3
141,4,3.67,10.25,14.63,41,0
142,45,7.27,8.18,80.98,368,3
143,14,8.0,15.86,47.75,222,1
144,7,6.5,3.71,57.69,26,0
145,8,3.71,8.38,47.76,67,0
146,40,8.67,9.28,63.07,371,3
147,13,15.92,4.85,68.25,63,0
148,7,7.0,14.71,17.48,103,0
149,15,17.07,15.2,51.32,228,1
150,31,10.17,9.29,46.18,288,0
151,11,6.2,14.91,26.83,164,0
152,65,5.59,10.71,77.44,696,3
153,19,11.28,14.05,66.29,267,0
154,35,9.65,17.71,66.61,620,3
155,22,15.62,10.95,79.25,241,0
156,3,9.5,6.0,38.89,18,0
157,4,5.33,11.0,29.55,44,0
158,5,14.25,6.2,12.9,31,2
159,4,22.0,13.25,37.74,53,2
160,12,14.64,22.08,53.58,265,1
161,20,16.47,13.15,50.95,263,1
162,14,5.62,6.21,24.14,87,0
163,11,8.9,7.0,31.17,77,0
164,10,17.11,19.0,73.68,190,1
165,7,21.0,13.14,45.65,92,1
166,6,23.2,4.67,17.86,28,2
167,5,20.0,10.8,16.67,54,2
168,22,8.76,6.36,35.0,140,0
169,6,17.8,14.17,10.59,85,2
170,3,30.0,2.67,12.5,8,2
171,6,10.8,9.5,36.84,57,0
172,6,10.6,3.33,30.0,20,0
173,44,5.84,9.68,43.9,426,3
174,27,11.27,6.41,51.45,173,0
175,23,5.18,5.65,28.46,130,0
176,6,23.8,7.17,16.28,43,2
177,14,6.38,3.43,50.0,48,0
178,5,15.5,12.0,23.33,60,2
179,5,20.0,6.2,16.13,31,2
180,6,24.2,37.0,48.2,222,1
181,10,20.22,9.6,45.83,96,2
182,26,12.4,7.85,66.18,204,0
183,4,14.0,19.0,23.68,76,1
184,11,22.9,13.91,52.94,153,1
185,6,29.0,6.67,15.0,40,2
186,7,14.0,7.71,29.63,54,0
187,32,7.0,6.34,68.97,203,3
188,5,7.75,14.4,29.17,72,0
189,11,16.1,5.36,42.37,59,0
190,17,14.69,9.41,43.13,160,0
191,4,4.67,5.75,13.04,23,0
192,5,29.75,8.4,61.9,42,2
193,5,19.5,6.6,6.06,33,2
194,9,17.5,10.0,37.78,90,2
195,58,5.47,3.19,79.46,185,3
196,3,28.0,1.0,33.33,3,2
197,20,3.68,22.4,61.38,448,1
198,5,16.5,10.2,31.37,51,2
199,3,8.5,5.33,50.0,16,0
200,9,21.0,19.11,48.84,172,1
201,7,7.67,7.57,32.08,53,0
202,13,19.08,28.08,54.52,365,1
203,3,15.0,3.67,54.55,11,0
204,58,6.11,8.88,63.88,515,3
205,12,12.91,4.08,65.31,49,0
206,28,12.37,6.32,52.54,177,0
207,3,22.0,7.33,27.27,22,2
208,18,9.18,5.17,56.99,93,0
209,19,11.89,16.63,83.54,316,1
210,99,3.32,14.91,84.21,1476,3
211,4,7.0,12.25,24.49,49,0
212,12,16.0,2.42,41.38,29,0
213,5,13.75,11.2,14.29,56,2
214,27,10.96,17.74,62.21,479,1
215,5,25.5,6.2,6.45,31,2
216,17,13.75,19.94,73.75,339,1
217,11,17.6,7.18,24.05,79,2
218,6,15.8,1.0,66.67,6,0
219,33,10.16,12.24,62.13,404,3
220,16,17.4,7.13,61.4,114,0
221,23,11.45,10.04,72.73,231,0
222,70,5.25,6.91,71.69,484,3
223,49,7.44,13.12,77.14,643,3
224,3,20.0,7.33,22.73,22,2
225,11,16.9,5.45,56.67,60,0
226,21,13.4,10.48,69.09,220,0
227,31,8.87,18.13,61.92,562,1
228,4,9.0,12.5,26.0,50,0
229,17,14.38,11.0,70.59,187,0
230,10,20.33,5.6,55.36,56,0
231,3,15.5,21.67,41.54,65,1
232,36,7.91,12.36,78.88,445,3
233,25,8.38,19.12,76.15,478,1
234,42,8.73,13.1,58.73,550,3
235,21,11.7,9.14,52.6,192,0
236,45,6.0,11.44,39.61,515,3
237,8,5.57,8.63,18.84,69,0
238,6,15.0,33.67,41.09,202,1
239,5,22.75,9.0,15.56,45,2
240,5,23.75,3.0,26.67,15,2
241,14,10.92,8.86,33.87,124,0
242,16,12.73,8.38,45.52,134,0
243,27,11.96,13.0,68.09,351,0
244,7,12.67,6.14,9.3,43,2
245,5,30.0,9.4,27.66,47,2
246,5,15.0,6.6,24.24,33,2
247,5,19.75,6.2,22.58,31,2
248,58,5.93,6.76,79.85,392,3
249,9,7.63,4.44,67.5,40,0
250,11,18.3,9.55,68.57,105,0
251,10,13.89,7.7,48.05,77,0
252,4,24.67,11.5,17.39,46,2
253,3,16.5,7.67,17.39,23,2
254,11,4.4,9.55,38.1,105,0
255,4,16.0,20.0,38.75,80,1
256,18,17.53,12.28,56.11,221,0
257,20,4.37,6.05,45.45,121,0
258,24,7.96,8.88,51.64,213,0
259,3,4.5,5.33,12.5,16,0
260,17,9.38,6.12,70.19,104,0
261,8,3.71,7.0,12.5,56,0
262,45,7.39,5.82,44.27,262,3
263,3,11.0,8.0,33.33,24,0
264,29,11.61,23.83,69.61,691,1
265,7,15.5,4.0,32.14,28,0
266,5,16.75,6.0,13.33,30,2
267,9,22.88,36.0,54.01,324,1
268,9,24.38,7.44,10.45,67,2
269,3,30.0,22.33,7.46,67,1
270,22,11.38,3.0,56.06,66,0
271,15,20.14,1.13,76.47,17,0
272,9,15.0,7.22,36.92,65,0
273,19,14.5,5.68,43.52,108,0
274,14,17.85,13.43,28.72,188,2
275,14,11.54,11.64,41.72,163,0
276,9,13.25,6.89,48.39,62,0
277,3,16.5,7.67,21.74,23,2
278,68,2.85,3.93,79.03,267,3
279,14,18.15,7.14,23.0,100,2
280,41,8.63,12.93,73.58,530,3
281,30,9.59,10.1,59.08,303,0
282,3,26.0,7.33,13.64,22,2
283,5,25.0,7.2,25.0,36,2
284,16,18.87,22.38,67.6,358,1
285,4,24.33,9.5,13.16,38,2
286,3,9.5,8.67,0.0,26,2
287,14,5.23,1.29,61.11,18,0
288,3,30.0,6.33,5.26,19,2
289,49,6.88,14.39,84.82,705,3
290,51,7.14,31.18,65.53,1590,1
291,4,11.33,4.25,11.76,17,2
292,8,19.0,16.38,54.2,131,1
293,8,19.29,14.25,49.12,114,1
294,15,11.57,7.2,53.7,108,0
295,23,5.27,11.52,78.87,265,3
296,6,6.8,5.0,10.0,30,0
297,11,25.5,4.45,36.73,49,2
298,3,19.5,16.33,44.9,49,1
299,9,19.75,7.11,23.44,64,2
300,38,6.19,7.37,43.21,280,3
301,18,13.18,8.22,35.14,148,0
302,10,12.78,7.6,13.16,76,2
303,8,14.57,1.63,23.08,13,2
304,42,8.12,6.62,78.42,278,3
305,4,30.0,10.0,17.5,40,2
306,24,14.22,5.0,56.67,120,0
307,34,10.88,5.03,81.87,171,3
308,3,15.5,3.67,0.0,11,2
309,25,1.0,12.32,43.18,308,0
310,99,3.33,4.98,71.2,493,3
311,15,8.57,4.07,63.93,61,0
312,4,15.67,7.25,44.83,29,0
313,99,1.7,7.95,83.48,787,3
314,5,24.75,2.2,18.18,11,2
315,4,11.67,8.5,29.41,34,0
316,21,11.25,9.05,47.89,190,0
317,4,17.67,10.0,5.0,40,2
318,7,14.17,1.0,85.71,7,0
